DOEID,REGIONC,DIVISION,TOTROOMS,TOTSQFT_EN,TOTHSQFT,TOTCSQFT,KWH,BTUEL,DOLLAREL,CLIMATE_REGION_PUB,TEMPHOME,TEMPGONE,TEMPNITE,NHSLDMEM,ATHOME,ENERGYASST,MONEYPY,BTUEL_TOTALS,EL_TOTALS
13272,3,5,7,1520,1520,1520,19258.518,65710.064,2645.34,Hot-Humid,68,60,68,4,2,0,3,52527.481999999996,5
13273,4,8,9,3668,3668,0,9542.57,32559.25,755.58,Cold/Very Cold,68,65,68,1,5,0,2,5009.531,1
13274,4,10,4,1069,1069,267,5231.559,17850.079,690.71,Hot-Dry/Mixed-Dry,75,75,50,4,0,0,1,9165.302,4
13275,2,4,9,4106,4106,4106,13214.079,45086.436,1479.24,Cold/Very Cold,65,65,65,2,0,0,7,32257.092999999997,5
13276,4,10,8,2400,2400,2400,9392.0,32045.0,1543.0,Hot-Dry/Mixed-Dry,75,70,70,2,5,0,3,15283.641,2
13277,4,8,9,3074,2216,2216,9125.766,31137.114,1110.28,Cold/Very Cold,68,62,68,4,2,0,7,9197.79,3
13278,2,4,11,3350,3045,3045,13176.0,44956.0,1814.0,Mixed-Humid,68,68,68,2,5,0,5,26191.341,2
13279,2,4,4,2548,949,949,18027.869,61511.089,1900.96,Cold/Very Cold,72,65,65,1,5,1,1,47551.519,5
13280,3,5,9,2496,0,832,19567.903,66765.686,2735.4,Hot-Humid,-2,-2,-2,2,5,0,4,46735.645000000004,4
13281,2,3,6,4968,2808,1404,4741.271,16177.218,755.85,Cold/Very Cold,68,68,64,2,5,0,3,3021.449,3
13282,4,10,8,4808,3929,3929,8796.9,30015.023,1979.84,Hot-Dry/Mixed-Dry,70,69,69,4,5,0,8,9860.581,4
13283,4,9,6,2240,2240,2240,23209.912,79192.218,2436.99,Hot-Dry/Mixed-Dry,72,72,72,2,5,0,1,59532.897,5
13284,2,3,1,694,694,694,3919.407,13373.018,458.73,Cold/Very Cold,78,78,75,1,5,0,1,4404.8279999999995,3
13285,4,8,5,1490,1490,1490,4116.667,14046.067,517.97,Cold/Very Cold,68,62,65,2,3,0,2,9367.667,5
13286,2,3,5,1094,1094,1094,13674.259,46656.573,1359.23,Cold/Very Cold,68,65,65,3,0,0,3,35782.409999999996,5
13287,2,3,4,694,694,694,1935.884,6605.236,360.44,Cold/Very Cold,66,66,66,1,5,0,2,2998.7709999999997,2
13288,3,5,10,4124,2062,2062,34320.88,117102.844,5397.82,Hot-Humid,74,73,70,2,5,0,8,56554.691999999995,5
13289,2,4,9,3704,3704,3704,8224.824,28063.098,888.48,Cold/Very Cold,72,72,72,2,5,0,1,16371.707999999999,4
13290,3,5,4,1256,1256,1256,9535.22,32534.169,1337.39,Mixed-Humid,80,80,80,5,3,0,2,26445.249,5
13291,3,5,6,2288,2288,2288,19325.129,65937.34,2321.68,Hot-Humid,71,68,71,5,2,0,4,54257.025,5
13292,4,10,2,952,476,714,6888.296,23502.865,1419.04,Hot-Dry/Mixed-Dry,70,70,70,2,5,0,1,18005.967,4
13293,2,3,8,5673,5673,0,9301.818,31737.804,1344.74,Cold/Very Cold,68,64,68,5,2,0,5,6669.655000000001,2
13294,3,5,12,4765,4765,4765,32006.851,109207.374,3360.04,Mixed-Humid,68,68,67,2,5,0,6,91648.788,5
13295,4,9,8,2040,2040,2040,11031.784,37640.447,1388.29,Hot-Dry/Mixed-Dry,72,68,70,2,5,0,4,21547.961000000003,3
13296,2,4,9,1370,1370,1370,9643.075,32902.173,925.18,Cold/Very Cold,72,69,70,1,5,0,1,22926.38,5
13297,3,5,8,3240,1620,1620,16729.489,57081.016,2500.92,Mixed-Humid,69,68,68,3,0,0,8,32025.132999999998,4
13298,3,7,6,2208,2208,2208,19461.929,66404.102,2447.76,Hot-Humid,73,71,75,5,2,0,4,54071.50499999999,5
13299,1,2,11,6095,3790,3790,20847.317,71131.046,2127.26,Cold/Very Cold,63,60,59,4,3,0,8,16903.737,3
13300,4,8,1,391,391,391,2242.365,7650.949,356.6,Cold/Very Cold,65,60,65,1,0,0,1,1200.3690000000001,2
13301,3,5,4,932,0,932,7183.677,24510.707,810.28,Hot-Humid,-2,-2,-2,1,1,0,2,18934.396999999997,4
13302,1,2,3,691,691,461,11101.355,37877.823,2073.01,Mixed-Humid,70,70,70,1,5,0,3,29963.967,5
13303,1,2,8,2116,2116,2116,10230.007,34904.785,1100.85,Cold/Very Cold,68,66,66,3,5,0,1,13504.142,3
13304,2,4,4,726,726,0,1518.526,5181.212,477.24,Cold/Very Cold,68,68,68,1,0,0,2,2784.466,3
13305,1,1,6,2496,1560,1560,7185.318,24516.305,1399.92,Cold/Very Cold,70,70,70,4,5,0,2,13478.126,2
13306,4,10,4,1259,1259,315,3613.789,12330.248,585.26,Hot-Dry/Mixed-Dry,70,62,62,1,0,0,5,6619.459000000001,5
13307,2,3,4,1080,1080,1080,17738.057,60522.252,1816.52,Mixed-Humid,72,72,72,2,5,0,2,48662.015,5
13308,4,10,4,868,868,0,2372.145,8093.758,419.62,Marine,75,50,80,4,5,0,3,926.052,2
13309,4,9,6,664,664,664,12882.033,43953.498,1669.14,Hot-Dry/Mixed-Dry,75,75,75,7,3,0,5,10909.223,2
13310,2,3,8,4140,4140,4140,21498.692,73353.539,2642.08,Mixed-Humid,70,66,70,2,5,0,7,48536.99,5
13311,1,1,5,1000,1000,600,8198.0,27973.0,1651.0,Cold/Very Cold,68,68,69,3,5,0,2,2901.2340000000004,2
13312,2,3,6,2681,2032,2032,11276.032,38473.822,1524.22,Cold/Very Cold,68,68,68,4,5,0,5,29060.15,4
13313,1,1,3,476,476,317,5203.0,17753.0,1008.0,Cold/Very Cold,68,62,67,1,5,0,2,11100.130000000001,4
13314,1,2,6,2150,2150,2150,7519.455,25656.379,1192.79,Cold/Very Cold,69,67,66,1,5,0,5,7073.389999999999,3
13315,3,7,4,1254,1254,1254,10528.529,35923.342,1442.57,Hot-Humid,62,62,75,1,5,0,2,21065.398,3
13316,2,3,1,639,639,0,3529.029,12041.047,473.4,Cold/Very Cold,80,75,80,1,4,1,1,2284.508,2
13317,1,2,7,3045,2030,2030,19005.484,64846.711,2019.93,Cold/Very Cold,70,70,69,2,5,0,6,46323.876,5
13318,3,5,6,920,920,0,3894.0,13286.0,598.0,Hot-Humid,65,50,65,1,5,0,1,11370.998,3
13319,4,9,1,552,552,552,3193.0,10893.0,422.0,Hot-Dry/Mixed-Dry,70,70,65,1,5,0,1,9125.898000000001,5
13320,3,5,8,2019,2019,2019,20158.109,68779.469,2243.31,Mixed-Humid,72,72,72,4,5,0,7,44809.424,5
13321,3,7,5,1656,1656,994,12985.663,44307.081,1662.03,Hot-Humid,68,59,72,2,5,0,4,36579.258,5
13322,2,3,9,2456,2456,391,7322.541,24984.511,972.69,Cold/Very Cold,67,67,67,3,5,0,3,4727.636,2
13323,1,1,5,1625,1625,1625,12197.19,41616.811,2871.49,Cold/Very Cold,70,70,67,2,5,0,4,26245.577999999998,5
13324,4,10,9,3100,3100,2700,10251.967,34979.71,2062.92,Hot-Dry/Mixed-Dry,75,75,75,3,5,0,8,21988.173000000003,3
13325,4,8,3,684,684,684,3469.551,11838.107,462.95,Cold/Very Cold,72,68,68,1,2,0,2,2928.518,3
13326,3,5,1,711,0,711,8964.323,30586.269,961.27,Hot-Humid,-2,-2,-2,2,2,0,1,25728.212,4
13327,4,10,5,1200,1200,0,4843.0,16525.0,852.0,Marine,70,64,65,4,4,0,6,4018.722,1
13328,1,2,8,2019,1683,0,4690.0,16003.0,796.0,Mixed-Humid,60,50,55,4,5,0,1,2529.868,1
